# The CENSUS — library routines worth a row and not measured yet (@PLN158 shape 1).
# Columns: library <TAB> routine <TAB> class <TAB> kind <TAB> rank <TAB> why a program spends time here <TAB> workload <TAB> the Rust twin
#   kind  loft = pure loft · native = a Rust cdylib does the work · mixed
#   rank  1 = the survey's first pick for its tree · 2 = a further candidate
# Surveyed 2026-09-21 from the published API (doc/claude/LIBRARIES.md) and the library
# sources; a row moves to routines.tsv the day its lane prints it.  Line numbers are the
# survey's, against the published package (~/.loft/registry) or the branch named there.
cbor	encode	record-field	loft	1	canonical map order: since 0.1.5 each key is encoded ONCE into a flat buffer and ranked by an O(n^2) `key_lt` over slices (the O(n^3) re-encode this row was written against is gone); the head arithmetic went plain in 0.1.6 (`major: integer limit(0, 7)`)	2,000 encodes of a 12-entry map with a nested 8-entry map	a BTreeMap-ordered head + payload writer
cbor	encode_bytes	vector-build	loft	2	a text payload appended ONE byte at a time (`buf += [value.byte_at(i) as u8]`)	500 encodes of 64 texts of 256 bytes	`Vec<u8>::extend_from_slice`
cbor	decode	record-build	loft	1	one record appended per item, a fresh `Decoded` returned per node, recursion per element	2,000 decodes of the 12-entry map; 200 of a 4,096-integer array	recursive descent returning `(Value, usize)`
crypto	sha256	native-boundary	native	2	one text in, 64 hex characters out: the boundary amortised over a growing digest	200,000 calls on 64 bytes; 2,000 on 1 MiB	the same function called from Rust
crypto	base64_to_bytes	native-boundary	native	1	a crossing that ALLOCATES a store-owned `vector<u8>`	100,000 decodes of 4 KiB	decode into a `Vec<u8>`
crypto	hpke_seal_base_deterministic	native-boundary	mixed	2	~18 crossings and ~15 base64 text concatenations per seal	5,000 seals of 256 bytes	the same suite on `&[u8]` with no base64 round-trips
crypto	ed25519_sign	native-boundary	native	2	the control: one crossing around ~50 µs of callee work, so the ratio should read 1.0	50,000 signs	ed25519-dalek called directly
regex	matches	native-boundary	native	2	every call allocates a String key and hashes the whole pattern to reach the cached Regex	500,000 calls over 20 rotating lines	a pre-compiled `Regex::is_match`
regex	split_on	text-build	mixed	1	the REMAINDER of the input re-sliced per piece (`rest = input[pos..n]`): O(pieces x bytes)	a 256 KiB text into ~20,000 pieces, 200x	`Regex::split` collecting lengths
arguments	parse	text-scan	loft	2	a linear scan of the options with a text compare per entry, per argv token	200,000 parses of 24 tokens against 40 options	a linear scan over `&[String]`
game_protocol	msg_ping	alloc-temp	loft	2	a nested record pair built and returned by value, nothing else	10,000,000 calls	the same two structs constructed
